#womenfortrump,dt 1
#women4trump,dt 1
#women4bernie,bs 1
#womancard.,hc 1
#womancard,dt -1
#woman4trump,dt 1
#whichhillary,hc -1
#wearebernie,bs 1
#votetrumpin,dt 1
#votetrump2016,dt 1
"#votetrump""",dt -1
#votetrump!,dt 1
#votetrump,dt 1
#votehillary,hc 1
#votebernie,bs 1
#vote4hillary,hc 1
#veterans4trump,dt 1
#trumpwinning,dt 1
#trumpuniversity,dt -1
#trumptrainðŸš‚ðŸ’¨ðŸ‡ºðŸ‡¸ðŸ‡ºðŸ‡¸,dt 1
#trumptrain,dt 1
#trumprally,dt 1
#trumplandslide,dt 1
#trumping,dt 1
#trumphead,dt 1
#trumpforeignpolicy,dt -1
#trumpdump,dt -1
#trump2016â€¦,dt 1
#trump2016bts,dt 1
"#trump2016,",dt 1
#trump2016!,dt 1
#trump2016,dt 1
#trump16,dt 1
#trump.,dt 1
"#trump,",dt 1
#trump!,dt 1
#trump,dt 1
#teamtrump.,dt 1
#teamtrump,dt 1
#stoptrump,dt -1
#stillsanders,bs 1
#sleazydonald,dt -1
#sheswithus,hc 1
#sanders2016,bs 1
#sanders.,bs 1
#sanders,bs 1
#realdonaldtrump,dt 1
#planetbernie,bs 1
#oregonfortrump,dt 1
#optrump,dt 1
#onlytrump,dt 1
#notmeus,bs .5
#nevertrumpðŸš§,dt -1
#nevertrump.,dt -1
#nevertrump,dt -1
#neverhillary,hc -1
#nevereverhillary,hc -1
#neverclinton,hc -1
#neverbernie,bs -1
#makedonalddrumpfagain,dt -1
#makeamericagreatagain!,dt 1
#makeamericagreatagain,dt 1
#maga,dt 1
#lyintrump,dt -1
#latinosfortrump,dt 1
#infortrump,dt 1
#indianafortrump,dt 1
#indiana4trump,dt 1
#imwithher.,hc 1
#imwithher,hc 1
#imnotwithher,hc -1
#iamwithher,hc 1
#hrc,hc 1
#hispanics4trump,dt 1
#hillyes,hc 1
#hillno,hc -1
#hillarâ€¦,hc 1
#hillarystrong,hc 1
#hillarylies,hc -1
#hillaryiscorrupt,hc -1
#hillaryforprison2016,hc -1
#hillaryforprison,hc -1
#hillaryclinton's,hc 1
#hillaryclinton,hc 1
#hillary:,hc 1
#hillary4prison,hc -1
#hillary4pa,hc 1
#hillary2016,hc 1
#hillary.,hc 1
#hillary's,hc 1
#hillary,hc 1
#fucktrump,dt -1
#fleethebern,bs 1
#feelthemath,hc 1
#feelthebernâ€¦,bs 1
#feelthebern!,bs 1
#feelthebern,bs 1
#dumptrump,dt -1
#duckingdonald,dt -1
#drumpf,dt -1
#dontrustrump,dt -1
#donaldtrump:,dt 1
#donaldtrump,dt 1
#donaldsdisorder,dt -1
#donaldsdiagnosis,dt -1
#donald,dt 1
#disgustingdonald,dt -1
#crookedhillary.,hc -1
#crookedhillary,hc -1
#corrupthillary,hc -1
#clintonhillaryrodham,hc 1
#clinton,hc 1
#byebyebernie,bs -1
#buildthewall,dt 1
#birdiesanders,bs 1
#berniestrong,bs 1
#berniesandersforpresident2016,bs 1
#berniesanders2016,bs 1
#berniesanders,bs 1
#bernieorbust,bs 1
#bernieorburst,bs 1
#bernie2016,bs 1
#bernie.,bs 1
#bernie's,bs 1
#bernie,bs 1
#alwaystrump,dt 1
